METRIC_TIME__MONTH,MET_SMC_DAILY_SPEND,MET_SMC_DAILY_RATES
2020-04-01,382,
2020-05-01,806,
2020-06-01,1098,420.0
2020-07-01,1818,434.0
2020-08-01,2002,434.0
2020-09-01,2000,420.0
2020-10-01,2240,434.0
2020-11-01,2546,420.0
2020-12-01,2608,434.0
2021-01-01,2734,434.0
2021-02-01,2736,392.0
2021-03-01,3172,434.0
2021-04-01,3250,420.0
2021-05-01,3434,434.0
2021-06-01,3820,420.0
2021-07-01,4248,434.0
2021-08-01,4472,434.0
2021-09-01,4410,420.0
2021-10-01,4846,434.0
2021-11-01,4874,420.0
2021-12-01,5924,434.0
2022-01-01,6330,434.0
2022-02-01,6508,392.0
2022-03-01,7862,434.0
2022-04-01,8326,420.0
2022-05-01,9116,434.0
2022-06-01,9042,420.0
2022-07-01,9746,434.0
2022-08-01,10002,434.0
2022-09-01,11194,420.0
2022-10-01,11736,434.0
2022-11-01,11896,420.0
2022-12-01,12325,434.0
2023-01-01,12357,434.0
2023-02-01,11416,392.0
2023-03-01,12771,434.0
2023-04-01,12622,420.0
2023-05-01,13151,434.0
2023-06-01,12389,420.0
2023-07-01,13131,434.0
2023-08-01,13482,434.0
2023-09-01,9273,294.0
